sample,arabinose,AHL,fluo,time,mean,sd,category
Heterogenous_onsite,2.00E-05,10,mKate,16.66666667,730.8935204,396.8808856,1
Heterogenous_onsite,2.00E-04,0,mKate,16.66666667,161.098812,62.54599376,1
Heterogenous_onsite,2.00E-04,0.0015625,mKate,16.66666667,203.9836658,44.28612761,1
Heterogenous_onsite,2.00E-04,0.00625,mKate,16.66666667,340.7613104,110.7547627,1
Heterogenous_onsite,2.00E-04,0.025,mKate,16.66666667,1406.446611,713.4025537,1
Heterogenous_onsite,2.00E-04,0.1,mKate,16.66666667,3070.249904,2137.110278,1
Heterogenous_onsite,2.00E-04,10,mKate,16.66666667,936.6697384,141.4366934,1
Heterogenous_onsite,0.002,0,mKate,16.66666667,153.44407,81.89681086,1
Heterogenous_onsite,0.002,0.0015625,mKate,16.66666667,161.0990403,78.16756149,1
Heterogenous_onsite,0.002,0.00625,mKate,16.66666667,346.8010659,128.6522702,1
Heterogenous_onsite,0.002,0.025,mKate,16.66666667,1438.182119,732.2012662,1
Heterogenous_onsite,0.002,0.1,mKate,16.66666667,3412.692663,2383.698707,1
Heterogenous_onsite,0.002,10,mKate,16.66666667,1149.510157,784.064043,1
Heterogenous_onsite,0.02,0,mKate,16.66666667,168.9312,92.73250582,1
Heterogenous_onsite,0.02,0.0015625,mKate,16.66666667,190.3507616,97.2054161,1
Heterogenous_onsite,0.02,0.00625,mKate,16.66666667,385.7828445,124.9279329,1
Heterogenous_onsite,0.02,0.025,mKate,16.66666667,1643.986,866.1882912,1
Heterogenous_onsite,0.02,0.1,mKate,16.66666667,3841.865023,2619.36626,1
Heterogenous_onsite,0.02,10,mKate,16.66666667,1326.478835,962.9323871,1
Heterogenous_onsite,0.2,0,mKate,16.66666667,226.2376938,99.15805439,1
Heterogenous_onsite,0.2,0.0015625,mKate,16.66666667,264.0089442,107.9379033,1
Heterogenous_onsite,0.2,0.00625,mKate,16.66666667,583.321116,268.5546064,1
Heterogenous_onsite,0.2,0.025,mKate,16.66666667,2156.884661,1195.777338,1
Heterogenous_onsite,0.2,0.1,mKate,16.66666667,4254.359774,3131.545851,1
Heterogenous_onsite,0.2,10,mKate,16.66666667,1574.386684,676.8869694,1
Homogenous_offsite,0,0,mKate,16.66666667,88.99775177,48.03738162,4
Homogenous_offsite,0,0.0015625,mKate,16.66666667,77.26065346,38.09854879,4
Homogenous_offsite,0,0.00625,mKate,16.66666667,96.15898538,62.6192593,4
Homogenous_offsite,0,0.025,mKate,16.66666667,231.3696239,125.8644098,4
Homogenous_offsite,0,0.1,mKate,16.66666667,918.835474,656.5878748,4
Homogenous_offsite,0,10,mKate,16.66666667,2264.751754,2158.756625,4
Homogenous_offsite,2.00E-07,0,mKate,16.66666667,80.49769623,46.83450112,4
Homogenous_offsite,2.00E-07,0.0015625,mKate,16.66666667,74.70733763,45.31350714,4
Homogenous_offsite,2.00E-07,0.00625,mKate,16.66666667,78.66580008,55.38248001,4
Homogenous_offsite,2.00E-07,0.025,mKate,16.66666667,190.8099761,115.4368686,4
