sample,arabinose,AHL,fluo,time,mean,sd
Heterogenous_offsite,0.02,0.00625,GFP,16.66666667,77851.37768,16769.34267
Heterogenous_offsite,0.02,0.00625,mKate,16.66666667,657.1166748,170.2544104
Heterogenous_offsite,0.02,0.025,GFP,16.66666667,28083.10169,5421.420189
Heterogenous_offsite,0.02,0.025,mKate,16.66666667,2192.668344,1049.040551
Heterogenous_offsite,0.02,0.1,GFP,16.66666667,14273.01079,2437.110513
Heterogenous_offsite,0.02,0.1,mKate,16.66666667,3887.243904,2473.043358
Heterogenous_offsite,0.02,10,GFP,16.66666667,7951.795166,2712.201641
Heterogenous_offsite,0.02,10,mKate,16.66666667,1210.698308,452.1659045
Heterogenous_offsite,0.2,0,GFP,16.66666667,118569.4651,11987.42704
Heterogenous_offsite,0.2,0,mKate,16.66666667,433.3389105,142.2564511
Heterogenous_offsite,0.2,0.0015625,GFP,16.66666667,107224.4861,13144.86878
Heterogenous_offsite,0.2,0.0015625,mKate,16.66666667,415.7970047,136.4227565
Heterogenous_offsite,0.2,0.00625,GFP,16.66666667,79186.10956,9027.926953
Heterogenous_offsite,0.2,0.00625,mKate,16.66666667,833.3953003,319.0983755
Heterogenous_offsite,0.2,0.025,GFP,16.66666667,27284.04539,4571.263307
Heterogenous_offsite,0.2,0.025,mKate,16.66666667,2853.564324,1397.371153
Heterogenous_offsite,0.2,0.1,GFP,16.66666667,14064.12612,2444.470317
Heterogenous_offsite,0.2,0.1,mKate,16.66666667,4095.338295,2509.072086
Heterogenous_offsite,0.2,10,GFP,16.66666667,6318.08156,536.8665887
Heterogenous_offsite,0.2,10,mKate,16.66666667,2139.431072,1321.915841
Heterogenous_onsite,0,0,GFP,16.66666667,15111.08411,1407.038813
Heterogenous_onsite,0,0,mKate,16.66666667,285.3105715,219.0166911
Heterogenous_onsite,0,0.0015625,GFP,16.66666667,15061.12839,1339.077714
Heterogenous_onsite,0,0.0015625,mKate,16.66666667,247.5851153,123.1307269
Heterogenous_onsite,0,0.00625,GFP,16.66666667,14012.84321,1245.063784
Heterogenous_onsite,0,0.00625,mKate,16.66666667,473.4814681,186.6028857
Heterogenous_onsite,0,0.025,GFP,16.66666667,9932.713615,424.7432742
Heterogenous_onsite,0,0.025,mKate,16.66666667,1762.205771,1085.548202
Heterogenous_onsite,0,0.1,GFP,16.66666667,7476.287413,371.7762283
Heterogenous_onsite,0,0.1,mKate,16.66666667,3580.020727,2294.507502
Heterogenous_onsite,0,10,GFP,16.66666667,8477.601404,6227.229857
Heterogenous_onsite,0,10,mKate,16.66666667,1148.593448,522.297174
Heterogenous_onsite,0.0000002,0,GFP,16.66666667,15032.4494,1703.651765
Heterogenous_onsite,0.0000002,0,mKate,16.66666667,170.603409,90.11103016
Heterogenous_onsite,0.0000002,0.0015625,GFP,16.66666667,14928.21072,1608.252452
Heterogenous_onsite,0.0000002,0.0015625,mKate,16.66666667,186.5878356,81.24143099
Heterogenous_onsite,0.0000002,0.00625,GFP,16.66666667,13748.24772,1119.170737
Heterogenous_onsite,0.0000002,0.00625,mKate,16.66666667,361.9256529,134.2535222
Heterogenous_onsite,0.0000002,0.025,GFP,16.66666667,9722.111381,1009.639282
Heterogenous_onsite,0.0000002,0.025,mKate,16.66666667,1524.185449,703.358533
Heterogenous_onsite,0.0000002,0.1,GFP,16.66666667,7430.452782,307.4865965
Heterogenous_onsite,0.0000002,0.1,mKate,16.66666667,3291.895337,2176.580456
Heterogenous_onsite,0.0000002,10,GFP,16.66666667,7937.084405,6275.104159
Heterogenous_onsite,0.0000002,10,mKate,16.66666667,1344.627829,1102.651471
Heterogenous_onsite,0.000002,0,GFP,16.66666667,15167.19231,1609.58385
Heterogenous_onsite,0.000002,0,mKate,16.66666667,159.1154838,70.99101442
Heterogenous_onsite,0.000002,0.0015625,GFP,16.66666667,14954.62971,1717.44688
Heterogenous_onsite,0.000002,0.0015625,mKate,16.66666667,165.5676913,72.15339714
Heterogenous_onsite,0.000002,0.00625,GFP,16.66666667,13687.66518,1179.457966
Heterogenous_onsite,0.000002,0.00625,mKate,16.66666667,342.9227126,97.49530222
Heterogenous_onsite,0.000002,0.025,GFP,16.66666667,10064.90569,762.6311322
Heterogenous_onsite,0.000002,0.025,mKate,16.66666667,1375.959525,675.9990469
Heterogenous_onsite,0.000002,0.1,GFP,16.66666667,7833.872386,929.0927028
Heterogenous_onsite,0.000002,0.1,mKate,16.66666667,3236.569571,2301.590655
Heterogenous_onsite,0.000002,10,GFP,16.66666667,11874.40034,7992.307853
Heterogenous_onsite,0.000002,10,mKate,16.66666667,839.7598429,588.3759045
Heterogenous_onsite,0.00002,0,GFP,16.66666667,14903.51419,1691.420552
Heterogenous_onsite,0.00002,0,mKate,16.66666667,156.7663273,63.25046632
Heterogenous_onsite,0.00002,0.0015625,GFP,16.66666667,14964.37785,1858.57658
Heterogenous_onsite,0.00002,0.0015625,mKate,16.66666667,170.9462091,71.37886199
Heterogenous_onsite,0.00002,0.00625,GFP,16.66666667,13773.29303,1360.848218
Heterogenous_onsite,0.00002,0.00625,mKate,16.66666667,319.8322328,118.5216879
Heterogenous_onsite,0.00002,0.025,GFP,16.66666667,10289.8632,661.3847713
Heterogenous_onsite,0.00002,0.025,mKate,16.66666667,1389.260344,707.0182367
Heterogenous_onsite,0.00002,0.1,GFP,16.66666667,8397.416531,1888.137919
Heterogenous_onsite,0.00002,0.1,mKate,16.66666667,3077.962749,2341.898597
Heterogenous_onsite,0.00002,10,GFP,16.66666667,9026.007068,5277.43002
Heterogenous_onsite,0.00002,10,mKate,16.66666667,730.8935204,396.8808856
Heterogenous_onsite,0.0002,0,GFP,16.66666667,17200.03934,2293.750519
Heterogenous_onsite,0.0002,0,mKate,16.66666667,161.098812,62.54599376
Heterogenous_onsite,0.0002,0.0015625,GFP,16.66666667,16253.18539,2882.002453
Heterogenous_onsite,0.0002,0.0015625,mKate,16.66666667,203.9836658,44.28612761
Heterogenous_onsite,0.0002,0.00625,GFP,16.66666667,14686.06697,1870.076234
Heterogenous_onsite,0.0002,0.00625,mKate,16.66666667,340.7613104,110.7547627
Heterogenous_onsite,0.0002,0.025,GFP,16.66666667,10652.20266,784.5937577
Heterogenous_onsite,0.0002,0.025,mKate,16.66666667,1406.446611,713.4025537
Heterogenous_onsite,0.0002,0.1,GFP,16.66666667,8876.292457,2002.491862
Heterogenous_onsite,0.0002,0.1,mKate,16.66666667,3070.249904,2137.110278
Heterogenous_onsite,0.0002,10,GFP,16.66666667,9019.843548,3921.127389
Heterogenous_onsite,0.0002,10,mKate,16.66666667,936.6697384,141.4366934
Heterogenous_onsite,0.002,0,GFP,16.66666667,17794.72036,2819.87819
Heterogenous_onsite,0.002,0,mKate,16.66666667,153.44407,81.89681086
Heterogenous_onsite,0.002,0.0015625,GFP,16.66666667,17088.26698,2541.07627
Heterogenous_onsite,0.002,0.0015625,mKate,16.66666667,161.0990403,78.16756149
Heterogenous_onsite,0.002,0.00625,GFP,16.66666667,15071.75614,2151.805671
Heterogenous_onsite,0.002,0.00625,mKate,16.66666667,346.8010659,128.6522702
Heterogenous_onsite,0.002,0.025,GFP,16.66666667,11788.36051,1391.08935
Heterogenous_onsite,0.002,0.025,mKate,16.66666667,1438.182119,732.2012662
Heterogenous_onsite,0.002,0.1,GFP,16.66666667,8909.31713,1463.296523
Heterogenous_onsite,0.002,0.1,mKate,16.66666667,3412.692663,2383.698707
Heterogenous_onsite,0.002,10,GFP,16.66666667,11236.33947,5347.913353
Heterogenous_onsite,0.002,10,mKate,16.66666667,1149.510157,784.064043
Heterogenous_onsite,0.02,0,GFP,16.66666667,19544.99623,3276.042561
Heterogenous_onsite,0.02,0,mKate,16.66666667,168.9312,92.73250582
Heterogenous_onsite,0.02,0.0015625,GFP,16.66666667,18729.91252,3093.919646
Heterogenous_onsite,0.02,0.0015625,mKate,16.66666667,190.3507616,97.2054161
Heterogenous_onsite,0.02,0.00625,GFP,16.66666667,16179.23376,2816.261213
Heterogenous_onsite,0.02,0.00625,mKate,16.66666667,385.7828445,124.9279329
Heterogenous_onsite,0.02,0.025,GFP,16.66666667,12139.44768,1434.9116
Heterogenous_onsite,0.02,0.025,mKate,16.66666667,1643.986,866.1882912
Heterogenous_onsite,0.02,0.1,GFP,16.66666667,8647.537924,611.7841098
Heterogenous_onsite,0.02,0.1,mKate,16.66666667,3841.865023,2619.36626
Heterogenous_onsite,0.02,10,GFP,16.66666667,8303.610733,2581.794662
Heterogenous_onsite,0.02,10,mKate,16.66666667,1326.478835,962.9323871
Heterogenous_onsite,0.2,0,GFP,16.66666667,21256.1295,3350.517936
Heterogenous_onsite,0.2,0,mKate,16.66666667,226.2376938,99.15805439
Heterogenous_onsite,0.2,0.0015625,GFP,16.66666667,20166.32614,3633.981438
Heterogenous_onsite,0.2,0.0015625,mKate,16.66666667,264.0089442,107.9379033
Heterogenous_onsite,0.2,0.00625,GFP,16.66666667,17174.56748,2843.211215
Heterogenous_onsite,0.2,0.00625,mKate,16.66666667,583.321116,268.5546064
Heterogenous_onsite,0.2,0.025,GFP,16.66666667,12503.79529,1892.038186
Heterogenous_onsite,0.2,0.025,mKate,16.66666667,2156.884661,1195.777338
Heterogenous_onsite,0.2,0.1,GFP,16.66666667,9187.213593,936.8483189
Heterogenous_onsite,0.2,0.1,mKate,16.66666667,4254.359774,3131.545851
Heterogenous_onsite,0.2,10,GFP,16.66666667,6344.50976,2230.162173
Heterogenous_onsite,0.2,10,mKate,16.66666667,1574.386684,676.8869694
Homogenous_offsite,0,0,GFP,16.66666667,67055.68106,11741.05254
Homogenous_offsite,0,0,mKate,16.66666667,88.99775177,48.03738162
Homogenous_offsite,0,0.0015625,GFP,16.66666667,108763.2092,40760.23661
Homogenous_offsite,0,0.0015625,mKate,16.66666667,77.26065346,38.09854879
Homogenous_offsite,0,0.00625,GFP,16.66666667,78793.91859,27759.60111
Homogenous_offsite,0,0.00625,mKate,16.66666667,96.15898538,62.6192593
Homogenous_offsite,0,0.025,GFP,16.66666667,51924.22997,12202.29405
Homogenous_offsite,0,0.025,mKate,16.66666667,231.3696239,125.8644098
Homogenous_offsite,0,0.1,GFP,16.66666667,31319.68411,10317.939
Homogenous_offsite,0,0.1,mKate,16.66666667,918.835474,656.5878748
Homogenous_offsite,0,10,GFP,16.66666667,14552.87514,5148.425885
Homogenous_offsite,0,10,mKate,16.66666667,2264.751754,2158.756625
Homogenous_offsite,0.0000002,0,GFP,16.66666667,66079.64407,11874.78187
Homogenous_offsite,0.0000002,0,mKate,16.66666667,80.49769623,46.83450112
Homogenous_offsite,0.0000002,0.0015625,GFP,16.66666667,97891.04648,34227.70982
Homogenous_offsite,0.0000002,0.0015625,mKate,16.66666667,74.70733763,45.31350714
Homogenous_offsite,0.0000002,0.00625,GFP,16.66666667,77328.34697,27541.01833
Homogenous_offsite,0.0000002,0.00625,mKate,16.66666667,78.66580008,55.38248001
Homogenous_offsite,0.0000002,0.025,GFP,16.66666667,51405.88655,13337.7689
Homogenous_offsite,0.0000002,0.025,mKate,16.66666667,190.8099761,115.4368686
