sample,ARA,AHL,fluo,time,Experimental,sd,Estimated
HetOFF,1e-09,0.0,GFP,16.66666667,0.3224453499382087,0.040080956539341975,0.31880984462998546
HetOFF,2e-07,0.0,GFP,16.66666667,0.3143528668397264,0.037059830553395116,0.3192005624976183
HetOFF,2e-06,0.0,GFP,16.66666667,0.3352442135516338,0.05303331239937368,0.3339410347288218
HetOFF,2e-05,0.0,GFP,16.66666667,0.6363750176268017,0.18166408509707407,0.6365144540646226
HetOFF,0.0002,0.0,GFP,16.66666667,0.9602452368645739,0.1357081532880665,0.9605085585021252
HetOFF,0.002,0.0,GFP,16.66666667,1.0,0.13722917586203048,0.9774685059424496
HetOFF,0.02,0.0,GFP,16.66666667,0.9672679403351766,0.14832067362001342,0.9779083454303695
HetOFF,0.2,0.0,GFP,16.66666667,0.9663401395912298,0.09769742917709497,0.9779194587042543
